Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyEqual(valorProgreso, ""0 %"", CONTINUE_ON_FAILURE)",Firefox 68.0,"Verificar que la columna ""Progreso"" está al 0%",,2019-08-14 08:44:49,2019-08-14 08:44:49,"0,003s",PASSED
,,,,,,,
Test Cases/ValoracionGlobal,Firefox 68.0,,,2019-08-14 08:44:49,2019-08-14 08:45:11,"21,823s",PASSED
"openBrowser("""")",Firefox 68.0,Abrir el navegador,,2019-08-14 08:44:49,2019-08-14 08:44:56,"6,674s",PASSED
maximizeWindow(),Firefox 68.0,Maximizar el navegador,,2019-08-14 08:44:56,2019-08-14 08:44:56,"0,302s",PASSED
navigateToUrl(url),Firefox 68.0,Navegar a la url del sistema,,2019-08-14 08:44:56,2019-08-14 08:44:58,"1,672s",PASSED
"setText(findTestObject(""Login/input_Usuario""), user)",Firefox 68.0,Informar el usuario,,2019-08-14 08:44:58,2019-08-14 08:44:58,"0,137s",PASSED
"setText(findTestObject(""Login/input_Pass""), pass)",Firefox 68.0,Informar la contraseña,,2019-08-14 08:44:58,2019-08-14 08:44:58,"0,117s",PASSED
"click(findTestObject(""Login/input_Acceder""))",Firefox 68.0,Pulsar sobre el botón Acceder,,2019-08-14 08:44:58,2019-08-14 08:44:59,"0,388s",PASSED
waitForPageLoad(20),Firefox 68.0,Esperar a que cargue la pantalla,,2019-08-14 08:44:59,2019-08-14 08:44:59,"0,076s",PASSED
"click(findTestObject(""Home/span_Equipo""))",Firefox 68.0,Hacer click el seleccionable equipo,,2019-08-14 08:44:59,2019-08-14 08:45:00,"0,801s",PASSED
"waitForElementPresent(findTestObject(""Home/div_SelectorEquipo""), 5)",Firefox 68.0,Esperar que se muestren las opciones de equipo,,2019-08-14 08:45:00,2019-08-14 08:45:00,"0,016s",PASSED
"click(findTestObject(""Home/div_SelectorEquipo""))",Firefox 68.0,Seleccionar la opción para el equipo,,2019-08-14 08:45:00,2019-08-14 08:45:00,"0,270s",PASSED
"waitForElementClickable(findTestObject(""Home/a_EvaFinalizadas""), 5)",Firefox 68.0,Esperar que el botón Evaluaciones Finalizadas esté habilitado,,2019-08-14 08:45:00,2019-08-14 08:45:00,"0,028s",PASSED
"click(findTestObject(""Home/a_EvaFinalizadas""))",Firefox 68.0,Hacer click sobre el botón Evaluaciones Finalizadas,,2019-08-14 08:45:00,2019-08-14 08:45:00,"0,518s",PASSED
waitForPageLoad(20),Firefox 68.0,Esperar a que cargue la pantalla,,2019-08-14 08:45:00,2019-08-14 08:45:00,"0,018s",PASSED
delay(5),Firefox 68.0,,,2019-08-14 08:45:00,2019-08-14 08:45:05,"5,004s",PASSED
"columnaPuntuacion = getText(findTestObject(""EvaluacionesFinalizadas/tbody_ValorColumna"", [""columna"":colPuntuacion]))",Firefox 68.0,Obtener el texto de la columna puntuación,,2019-08-14 08:45:05,2019-08-14 08:45:05,"0,051s",PASSED
"click(findTestObject(""EvaluacionesFinalizadas/button_ColResultados"", [""columna"":colResultados]))",Firefox 68.0,,,2019-08-14 08:45:05,2019-08-14 08:45:06,"0,365s",PASSED
waitForPageLoad(20),Firefox 68.0,,,2019-08-14 08:45:06,2019-08-14 08:45:06,"0,014s",PASSED
delay(5),Firefox 68.0,,,2019-08-14 08:45:06,2019-08-14 08:45:11,"5,005s",PASSED
"columnaValoracion = getText(findTestObject(""EvaluacionesResultados/tspan_ValoracionGlobal""))",Firefox 68.0,,,2019-08-14 08:45:11,2019-08-14 08:45:11,"0,032s",PASSED
"columnaValoracion = columnaValoracion + ""%""",Firefox 68.0,,,2019-08-14 08:45:11,2019-08-14 08:45:11,"0,000s",PASSED
"verifyEqual(columnaPuntuacion, columnaValoracion)",Firefox 68.0,Se verifican que los datos de la tabla y los resultados son los mismos,,2019-08-14 08:45:11,2019-08-14 08:45:11,"0,002s",PASSED
