Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Home/a_NuevaEvaluacion""))",Firefox 68.0,"Pulsar el botón ""Nueva evaluación""",,2019-08-14 08:46:10,2019-08-14 08:46:10,"0,250s",PASSED
"waitForElementPresent(findTestObject(""Home/button_Nueva""), 5, OPTIONAL)",Firefox 68.0,,,2019-08-14 08:46:10,2019-08-14 08:46:10,"0,025s",PASSED
"click(findTestObject(""Home/button_Nueva""), OPTIONAL)",Firefox 68.0,"Si hay evaluaciones pendientes, se mostrará un mensaje y se aceptará",,2019-08-14 08:46:10,2019-08-14 08:46:10,"0,257s",PASSED
delay(5),Firefox 68.0,,,2019-08-14 08:46:10,2019-08-14 08:46:15,"5,002s",PASSED
waitForPageLoad(20),Firefox 68.0,Esperar a que cargue la pantalla,,2019-08-14 08:46:15,2019-08-14 08:46:15,"0,017s",PASSED
"click(findTestObject(""Home/a_Inicio""))",Firefox 68.0,Volver al inicio,,2019-08-14 08:46:15,2019-08-14 08:46:16,"0,281s",PASSED
waitForPageLoad(20),Firefox 68.0,Esperar a que cargue la pantalla,,2019-08-14 08:46:16,2019-08-14 08:46:16,"0,011s",PASSED
delay(5),Firefox 68.0,,,2019-08-14 08:46:16,2019-08-14 08:46:21,"5,005s",PASSED
"waitForElementClickable(findTestObject(""Home/span_Equipo""), 0)",Firefox 68.0,Esperar que el desplegable equipo esté disponible,,2019-08-14 08:46:21,2019-08-14 08:46:21,"0,035s",PASSED
"click(findTestObject(""Home/span_Equipo""))",Firefox 68.0,Hacer click en el seleccionable equipo,,2019-08-14 08:46:21,2019-08-14 08:46:21,"0,274s",PASSED
"waitForElementPresent(findTestObject(""Home/div_SelectorEquipo""), 5)",Firefox 68.0,Esperar que se muestren las opciones de equipo,,2019-08-14 08:46:21,2019-08-14 08:46:21,"0,017s",PASSED
"click(findTestObject(""Home/div_SelectorEquipo""))",Firefox 68.0,Seleccionar la opción para el equipo,,2019-08-14 08:46:21,2019-08-14 08:46:21,"0,267s",PASSED
"waitForElementClickable(findTestObject(""Home/a_EvaPendientes""), 5)",Firefox 68.0,"Esperar que el botón ""Evaluaciones pendientes"" esté disponible",,2019-08-14 08:46:21,2019-08-14 08:46:21,"0,027s",PASSED
"click(findTestObject(""Home/a_EvaPendientes""))",Firefox 68.0,"Hacer click sobre el botón ""Evaluaciones pendientes""",,2019-08-14 08:46:21,2019-08-14 08:46:21,"0,294s",PASSED
waitForPageLoad(20),Firefox 68.0,Esperar a que cargue la pantalla,,2019-08-14 08:46:21,2019-08-14 08:46:21,"0,013s",PASSED
delay(5),Firefox 68.0,,,2019-08-14 08:46:21,2019-08-14 08:46:26,"5,003s",PASSED
"valorFecha = getText(findTestObject(""EvaluacionesFinalizadas/tbody_ValorColumna"", [""columna"":colFecha]))",Firefox 68.0,Obtener el valor de fecha del primer registro,,2019-08-14 08:46:26,2019-08-14 08:46:27,"0,040s",PASSED
"valorEvaluacion = getText(findTestObject(""EvaluacionesFinalizadas/tbody_ValorColumna"", [""columna"":colEvaluacion]))",Firefox 68.0,Obtener el valor de evaluación del primer registro,,2019-08-14 08:46:27,2019-08-14 08:46:27,"0,023s",PASSED
"valorProgreso = getText(findTestObject(""EvaluacionesFinalizadas/tbody_ValorColumna"", [""columna"":colProgreso]))",Firefox 68.0,Obtener el valor de progreso del primer registro,,2019-08-14 08:46:27,2019-08-14 08:46:27,"0,022s",PASSED
dateFormat = new java.text.SimpleDateFormat(dd/MM/yyyy),Firefox 68.0,,,2019-08-14 08:46:27,2019-08-14 08:46:27,"0,011s",PASSED
date = new java.util.Date(),Firefox 68.0,,,2019-08-14 08:46:27,2019-08-14 08:46:27,"0,005s",PASSED
today = dateFormat.format(date),Firefox 68.0,Recuperar la fecha del sistema en el formato dd/MM/yyyy,,2019-08-14 08:46:27,2019-08-14 08:46:27,"0,002s",PASSED
"verifyMatch(valorFecha, today, false, CONTINUE_ON_FAILURE)",Firefox 68.0,"Verificar que la columna ""Fecha"" es igual a la fecha del sistema",,2019-08-14 08:46:27,2019-08-14 08:46:27,"0,010s",PASSED
"verifyEqual(valorEvaluacion, ""SCRUM"", CONTINUE_ON_FAILURE)",Firefox 68.0,"Verificar que la columna ""Evaluación"" tiene el valor ""SCRUM""",,2019-08-14 08:46:27,2019-08-14 08:46:27,"0,005s",PASSED
"verifyEqual(valorProgreso, ""0 %"", CONTINUE_ON_FAILURE)",Firefox 68.0,"Verificar que la columna ""Progreso"" está al 0%",,2019-08-14 08:46:27,2019-08-14 08:46:27,"0,004s",PASSED
